Data,Descrição,Categoria,Valor,Centro de Custo,Tipo,Status
05/02/2026,Tarifa ,Tarifa Bancária,"-9,88",Financeiro,Pagar,Realizado
05/02/2026,Pro-Labore Ana Carolina,Folha,"-1.442,69",Operações,Pagar,Realizado
05/02/2026,Uber Corporativo,Refeição e Mobilidade,"-1.810,01",Administrativo,Pagar,Realizado
05/02/2026,CustomerX,Licença de Software,"-2.142,32",Operações,Pagar,Realizado
05/02/2026,Marcela Barão,Consultores,"-3.000,00",Operações,Pagar,Realizado
05/02/2026,Chat GPT Business,Licença de Software,"-623,90",Tecnologia,Pagar,Realizado
05/02/2026,DIDWW,Telefonia,"-166,93",Operações,Pagar,Realizado
06/02/2026,Receita Consolidada,Receita,"276,00",Receita,Receber,Realizado
06/02/2026,Tarifa ,Tarifa Bancária,"-4,66",Financeiro,Pagar,Realizado
07/02/2026,Pipedrive,Licença de Software,"-195,66",Vendas,Pagar,Realizado
09/02/2026,Receita Consolidada,Receita,"4.196,65",Receita,Receber,Realizado
09/02/2026,Tarifa ,Tarifa Bancária,"-28,06",Financeiro,Pagar,Realizado
09/02/2026,Pacote Office,Licença de Software,"-520,74",Administrativo,Pagar,Realizado
09/02/2026,99 Corporativo,Refeição e Mobilidade,"-15,30",Administrativo,Pagar,Realizado
09/02/2026,ISS - Pref. Barueri,Impostos,"-10.574,85",Impostos,Pagar,Pendente
10/02/2026,Receita Consolidada,Receita,"38.173,31",Receita,Receber,Realizado
10/02/2026,Tarifa ,Tarifa Bancária,"-41,99",Financeiro,Pagar,Realizado
10/02/2026,Procob,Licença de Software,"-48,50",Operações,Pagar,Realizado
10/02/2026,Vero,Telefonia,"-107,79",Operações,Pagar,Realizado
10/02/2026,AKR ,Contabilidade,"-5.350,00",Contabilidade,Pagar,Realizado
10/02/2026,Tokio Marine (Seguro de Vida Rafael),Saúde e Vida,"-219,99",Tecnologia,Pagar,Realizado
10/02/2026,Datora,Telefonia,"-570,00",Operações,Pagar,Realizado
10/02/2026,Estacionamento Visita Cliente ,Não Dedutível,"-25,00",Vendas,Pagar,Realizado
10/02/2026,Tarifa Mensalidade Bradesco,Tarifa Bancária,"-84,20",Financeiro,Pagar,Realizado
10/02/2026,Tarifa Mensalidade Santander,Tarifa Bancária,"-339,00",Financeiro,Pagar,Realizado
11/02/2026,Receita Consolidada,Receita,"8.840,91",Receita,Receber,Realizado
11/02/2026,Tarifa ,Tarifa Bancária,"-7,41",Financeiro,Pagar,Realizado
11/02/2026,Estacionamento Visita Cliente ,Não Dedutível,"-33,00",Vendas,Pagar,Realizado
11/02/2026,OpenAI ,Licença de Software,"-109,98",Tecnologia,Pagar,Realizado
12/02/2026,Receita Consolidada,Receita,"2.676,39",Receita,Receber,Realizado
12/02/2026,Tarifa ,Tarifa Bancária,"-9,60",Financeiro,Pagar,Realizado
12/02/2026,Café Cliente,Não Dedutível,"-39,00",Vendas,Pagar,Realizado
12/02/2026,Estacionamento Visita Cliente ,Não Dedutível,"-20,00",Vendas,Pagar,Realizado
12/02/2026,RD Station,Licença de Software,"-79,00",Vendas,Pagar,Realizado
13/02/2026,Receita Consolidada,Receita,"4.124,01",Receita,Receber,Realizado
13/02/2026,Tarifa ,Tarifa Bancária,"-7,41",Financeiro,Pagar,Realizado
13/02/2026,ADT Folha,Folha,"-12.393,46",Recursos Humanos,Pagar,Realizado
13/02/2026,Gabriel Cruz,Consultores,"-2.500,00",Tecnologia,Pagar,Realizado
13/02/2026,Kevin Advocacia,Advocacia,"-3.242,00",Administrativo,Pagar,Realizado
13/02/2026,D4sign,Licença de Software,"-49,90",Administrativo,Pagar,Realizado
13/02/2026,Dazsoft (3 faturas),Licença de Software,"-2.835,00",Operações,Pagar,Realizado
13/02/2026,Framer,Licença de Software,"-1.726,38",Marketing,Pagar,Realizado
13/02/2026,Almoço Cliente,Não Dedutível,"-1.264,92",Vendas,Pagar,Realizado
13/02/2026,Estacionamento Visita Cliente ,Não Dedutível,"-30,00",Vendas,Pagar,Realizado
14/02/2026,Estacionamento Visita Cliente ,Não Dedutível,"-50,00",Vendas,Pagar,Realizado
16/02/2026,Receita Consolidada,Receita,"0,00",Receita,Receber,Realizado
16/02/2026,Tarifa ,Tarifa Bancária,"0,00",Financeiro,Pagar,Realizado
16/02/2026,Claranet (2 faturas),Telefonia,"-5.334,91",Operações,Pagar,Realizado
16/02/2026,WeWork - Mensalidade,Aluguel,"-14.880,00",Administrativo,Pagar,Realizado
16/02/2026,GT Group,Telefonia,"-11,00",Operações,Pagar,Realizado
16/02/2026,OpenAI ,Licença de Software,"-55,44",Tecnologia,Pagar,Realizado
17/02/2026,Receita Consolidada,Receita,"0,00",Receita,Receber,Realizado
17/02/2026,Tarifa ,Tarifa Bancária,"0,00",Financeiro,Pagar,Realizado
17/02/2026,Vonex - 101 Com,Telefonia,"-2.934,90",Operações,Pagar,Realizado
18/02/2026,Receita Consolidada,Receita,"27.648,03",Receita,Receber,Realizado
18/02/2026,Tarifa ,Tarifa Bancária,"-63,81",Financeiro,Pagar,Realizado
18/02/2026,Gather,Licença de Software,"-1.075,24",Administrativo,Pagar,Realizado
18/02/2026,OpenAI ,Licença de Software,"-55,57",Tecnologia,Pagar,Realizado
18/02/2026,Figma,Licença de Software,"-324,60",Marketing,Pagar,Realizado
19/02/2026,Receita Consolidada,Receita,"2.433,62",Receita,Receber,Realizado
19/02/2026,Tarifa ,Tarifa Bancária,"-39,77",Financeiro,Pagar,Realizado
19/02/2026,OpenAI ,Licença de Software,"-55,54",Tecnologia,Pagar,Realizado
20/02/2026,Receita Consolidada,Receita,"18.349,58",Receita,Receber,Realizado
20/02/2026,Tarifa ,Tarifa Bancária,"-66,69",Financeiro,Pagar,Realizado
20/02/2026,Parcelamento ISS,Impostos,"-6.376,82",Impostos,Pagar,Realizado
20/02/2026,DARF CSRF 5952 - 1708,Impostos,"-340,57",Impostos,Pagar,Pendente
20/02/2026,INSS,INSS,"-15.871,20",Impostos,Pagar,Pendente
20/02/2026,FGTS,FGTS,"-2.735,70",Recursos Humanos,Pagar,Realizado
20/02/2026,Férias - Matheus Rodrigues,Férias - Folha,"-4.498,73",Recursos Humanos,Pagar,Realizado
20/02/2026,TVN Nacional,Telefonia,"-490,90",Operações,Pagar,Realizado
20/02/2026,Beatriz Rodrigues,Consultores,"-2.500,00",Marketing,Pagar,Realizado
20/02/2026,ElevenLabs,Licença de Software,"-548,71",Tecnologia,Pagar,Realizado
20/02/2026,ClickUp,Licença de Software,"-221,69",Tecnologia,Pagar,Realizado
20/02/2026,Almoço Cliente,Não Dedutível,"-351,54",Vendas,Pagar,Realizado
20/02/2026,Estacionamento Visita Cliente ,Não Dedutível,"-35,00",Vendas,Pagar,Realizado
23/02/2026,Receita Consolidada,Receita,"3.867,10",Receita,Receber,Realizado
23/02/2026,Tarifa ,Tarifa Bancária,"-23,96",Financeiro,Pagar,Realizado
23/02/2026,TD Synnex,licença de Software,"-169,51",Tecnologia,Pagar,Realizado
23/02/2026,Directcall,Telefonia,"-36.249,60",Operações,Pagar,Realizado
24/02/2026,Receita Consolidada,Receita,"2.993,55",Receita,Receber,Realizado
24/02/2026,Tarifa ,Tarifa Bancária,"-4,90",Financeiro,Pagar,Realizado
24/02/2026,VR - PontoMais,Licença de Software,"-265,16",Administrativo,Pagar,Realizado
24/02/2026,Linkedin - Alexandre,Publicidade,"-139,99",Administrativo,Pagar,Realizado
24/02/2026,OpenAI ,Licença de Software,"-54,80",Tecnologia,Pagar,Realizado
25/02/2026,Receita Consolidada,Receita,"310.929,09",Receita,Receber,Realizado
25/02/2026,Tarifa ,Tarifa Bancária,"-22,23",Financeiro,Pagar,Realizado
25/02/2026,"DARF COFINS 2172 - 5856 PIS 8109",Impostos,"-19.299,11",Impostos,Pagar,Pendente
25/02/2026,Payfy,Cartão Corporativo,"-100,00",Administrativo,Pagar,Realizado
25/02/2026,Bradesco Vida,Saúde e Vida,"-461,25",Recursos Humanos,Pagar,Realizado
25/02/2026,SulAmerica Saude - Mobcall,Saúde e Vida,"-21.423,35",Recursos Humanos,Pagar,Realizado
25/02/2026,SulAmerica Alexandre,Saúde e Vida,"-9.327,37",Recursos Humanos,Pagar,Realizado
25/02/2026,SulAmerica Rafael,Saúde e Vida,"-2.538,59",Recursos Humanos,Pagar,Realizado
26/02/2026,Receita Consolidada,Receita,"66.693,81",Receita,Receber,Realizado
26/02/2026,Tarifa ,Tarifa Bancária,"-17,01",Financeiro,Pagar,Realizado
26/02/2026,Ana Sabença,Ant. Dividendos,"-29.643,00",Operações,Pagar,Realizado
26/02/2026,Daniel Sabença - Distrato,Acordo,"-45.000,00",Distrato,Pagar,Realizado
26/02/2026,Alexandre Kohatsu,Ant. Dividendos,"-35.000,00",Administrativo,Pagar,Realizado
26/02/2026,CloudSoft Phone,Telefonia,"-10.128,62",Operações,Pagar,Realizado
26/02/2026,Vero,Telefonia,"-40.842,00",Operações,Pagar,Realizado
26/02/2026,Rafael Lohmann,Consultores,"-16.250,00",Tecnologia,Pagar,Realizado
26/02/2026,Octadesk,Licença de Software,"-1.542,40",Operações,Pagar,Realizado
26/02/2026,Daniel Sabença - Distrato Reembolso,Acordo,"-2.113,16",Distrato,Pagar,Realizado
26/02/2026,Flash,Refeição e Mobilidade,"-11.291,50",Recursos Humanos,Pagar,Realizado
26/02/2026,Mention,Publicidade,"-2.500,00",Operações,Pagar,Realizado
26/02/2026,Instagram,Publicidade,"-120,90",Marketing,Pagar,Realizado
26/02/2026,Almoço Cliente,Não Dedutível,"-551,55",Vendas,Pagar,Realizado
26/02/2026,Estacionamento Visita Cliente ,Não Dedutível,"-32,00",Vendas,Pagar,Realizado
26/02/2026,Café Cliente,Não Dedutível,"-60,60",Vendas,Pagar,Realizado
26/02/2026,Café Cliente,Não Dedutível,"-20,90",Vendas,Pagar,Realizado
26/02/2026,Estacionamento Visita Cliente ,Não Dedutível,"-48,00",Vendas,Pagar,Realizado
27/02/2026,Receita Consolidada,Receita,"4.380,40",Receita,Receber,Realizado
27/02/2026,Tarifa ,Tarifa Bancária,"-36,36",Financeiro,Pagar,Realizado
27/02/2026,Parcelamento de Impostos Federais (8973147),Impostos,"-607,96",Impostos,Pagar,Realizado
27/02/2026,PARC DÉBITOS PREVIDENCIARIOS (10279027),Impostos,"-7.958,92",Impostos,Pagar,Realizado
27/02/2026,PARC DEMAIS DÉBITOS (10278970),Impostos,"-7.923,61",Impostos,Pagar,Realizado
27/02/2026,PARC DEMAIS DÉBITOS (12861922),Impostos,"-689,01",Impostos,Pagar,Realizado
27/02/2026,PARC PREVIDENCIARIO (12861928),Impostos,"-436,57",Impostos,Pagar,Realizado
27/02/2026,PARC DÉBITOS PREVIDENCIARIOS (15330945),Impostos,"-6.163,24",Impostos,Pagar,Realizado
27/02/2026,PARC DIV. ATIVA (15330946),Impostos,"-3.420,97",Impostos,Pagar,Realizado
27/02/2026,SAMM,Telefonia,"-67.498,54",Operações,Pagar,Realizado
27/02/2026,Folha de Pagamento,Folha,"-15.137,63",Recursos Humanos,Pagar,Realizado
27/02/2026,GuardeMais,Aluguel,"-161,90",Administrativo,Pagar,Realizado
27/02/2026,Férias - Daniela Napoli,Férias - Folha,"-3.427,05",Recursos Humanos,Pagar,Realizado
27/02/2026,Almoço Cliente,Não Dedutível,"-1.265,48",Vendas,Pagar,Realizado
27/02/2026,Tarifa Pix - Payfy,Tarifa,"-44,10",Financeiro,Pagar,Realizado
02/03/2026,Receita Consolidada,Receita,"1.759,72",Receita,Receber,Realizado
02/03/2026,Tarifa ,Tarifa Bancária,"-23,96",Financeiro,Pagar,Realizado
02/03/2026,Adobe MKT,Licença de Software,"-400,00",Marketing,Pagar,Realizado
02/03/2026,DigitalOcean,Licença de Software,"-143,05",Marketing,Pagar,Realizado
02/03/2026,Google LLC,Cloud,"-3.598,42",Operações,Pagar,Realizado
02/03/2026,Acordo Algar ,Telefonia,"-13.154,19",Operações,Pagar,Realizado
02/03/2026,ChatGPT - Alexandre,Licença de Software,"-110,03",Administrativo,Pagar,Realizado
03/03/2026,Receita Consolidada,Receita,"12.392,28",Receita,Receber,Realizado
03/03/2026,Tarifa ,Tarifa Bancária,"-2,47",Financeiro,Pagar,Realizado
03/03/2026,Datora,Telefonia,"-1.632,86",Operações,Pagar,Realizado
04/03/2026,Receita Consolidada,Receita,"908,63",Receita,Receber,Realizado
04/03/2026,Tarifa ,Tarifa Bancária,"-50,64",Financeiro,Pagar,Realizado
04/03/2026,Amil Mobcall,Saúde e Vida,"-395,56",Recursos Humanos,Pagar,Realizado
04/03/2026,Amil Nathalie,Saúde e Vida,"-53,94",Recursos Humanos,Pagar,Realizado
04/03/2026,Amil Alexandre,Saúde e Vida,"-71,92",Recursos Humanos,Pagar,Realizado
04/03/2026,Amil Rafael,Saúde e Vida,"-17,98",Recursos Humanos,Pagar,Realizado
04/03/2026,Twilio,Licença de Software,"-448,09",Tecnologia,Pagar,Realizado
04/03/2026,DIDWW,Telefonia,"-335,48",Operações,Pagar,Realizado
05/03/2026,Receita Consolidada,Receita,"6.837,93",Receita,Receber,Realizado
05/03/2026,Tarifa ,Tarifa Bancária,"-14,54",Financeiro,Pagar,Realizado
05/03/2026,Pro-Labore Ana Carolina,Folha,"-1.442,69",Operações,Pagar,Realizado
05/03/2026,NVOIP,Licença de Software,"-29,00",Operações,Pagar,Realizado
05/03/2026,Uber Corporativo,Refeição e Mobilidade,"-498,12",Administrativo,Pagar,Realizado
05/03/2026,CustomerX,Licença de Software,"-2.142,32",Operações,Pagar,Realizado
05/03/2026,Marcela Barão,Consultores,"-3.000,00",Operações,Pagar,Realizado
05/03/2026,Chat GPT Business,Licença de Software,"-496,76",Tecnologia,Pagar,Realizado
06/03/2026,Receita Consolidada,Receita,"69,00",Receita,Receber,Realizado
06/03/2026,SoftOne,Cloud,"-84.213,15",Tecnologia,Pagar,Realizado
06/03/2026,Estacionamento Visita Cliente ,Não Dedutível,"-50,00",Vendas,Pagar,Realizado
06/03/2026,Almoço Cliente,Não Dedutível,"-1.200,06",Vendas,Pagar,Realizado
07/03/2026,Pipedrive,Licença de Software,"-196,71",Vendas,Pagar,Realizado
09/03/2026,Receita Consolidada,Receita,"4.290,02",Receita,Receber,Realizado
09/03/2026,Tarifa ,Tarifa Bancária,"-14,82",Financeiro,Pagar,Realizado
09/03/2026,ISS - Pref. Barueri,Impostos,"-9.459,67",Impostos,Pagar,Pendente
09/03/2026,Microsoft do Brasil,Licença de Software,"-0,70",Operações,Pagar,Realizado
10/03/2026,Receita Consolidada,Receita,"39.506,98",Receita,Receber,Realizado
10/03/2026,Tarifa ,Tarifa Bancária,"-41,71",Financeiro,Pagar,Realizado
10/03/2026,Pacote Office,Licença de Software,"-520,74",Administrativo,Pagar,Realizado
10/03/2026,Tarifa Mensalidade Bradesco,Tarifa Bancária,"-84,20",Financeiro,Pagar,Realizado
10/03/2026,Tarifa Mensalidade Santander,Tarifa Bancária,"-339,00",Financeiro,Pagar,Realizado
10/03/2026,Procob,Licença de Software,"-48,50",Operações,Pagar,Realizado
10/03/2026,Vero,Telefonia,"-109,14",Operações,Pagar,Realizado
10/03/2026,AKR,Contabilidade,"-5.350,00",Contabilidade,Pagar,Realizado
10/03/2026,Tokio Marine (Seguro de Vida Rafael),Saúde e Vida,"-219,99",Tecnologia,Pagar,Realizado
10/03/2026,ChatGPT - Ana,Licença de Software,"-111,54",Operações,Pagar,Realizado
11/03/2026,Receita Consolidada,Receita,"274,59",Receita,Receber,Realizado
11/03/2026,Tarifa ,Tarifa Bancária,"-4,94",Financeiro,Pagar,Realizado
12/03/2026,Receita Consolidada,Receita,"2.087,47",Receita,Receber,Realizado
12/03/2026,Tarifa ,Tarifa Bancária,"-12,35",Financeiro,Pagar,Realizado
12/03/2026,Estacionamento Visita Cliente ,Não Dedutível,"-35,00",Vendas,Pagar,Realizado
12/03/2026,RD Station,Licença de Software,"-79,00",Vendas,Pagar,Realizado
13/03/2026,Receita Consolidada,Receita,"0,00",Receita,Receber,Realizado
13/03/2026,Tarifa ,Tarifa Bancária,"-9,14",Financeiro,Pagar,Realizado
13/03/2026,ADT Folha,Folha,"-11.031,79",Recursos Humanos,Pagar,Realizado
13/03/2026,Kevin Advocacia,Advocacia,"-3.242,00",Administrativo,Pagar,Realizado
13/03/2026,Gabriel Cruz,Consultores,"-2.500,00",Tecnologia,Pagar,Realizado
13/03/2026,Estacionamento Visita Cliente ,Não Dedutível,"-35,00",Vendas,Pagar,Realizado
13/03/2026,Almoço Cliente,Não Dedutível,"-558,10",Vendas,Pagar,Realizado
15/03/2026,Figma,Licença de Software,"-279,38",Marketing,Pagar,Realizado
16/03/2026,Receita Consolidada,Receita,"36.014,31",Receita,Receber,Realizado
16/03/2026,Tarifa ,Tarifa Bancária,"-99,48",Financeiro,Pagar,Realizado
16/03/2026,Claranet (2 faturas),Telefonia,"-5.334,91",Operações,Pagar,Realizado
16/03/2026,GT Group,Telefonia,"-11,00",Operações,Pagar,Realizado
16/03/2026,Dazsoft (3 faturas),Licença de Software,"-2.835,00",Operações,Pagar,Realizado
17/03/2026,Receita Consolidada,Receita,"68,52",Receita,Receber,Realizado
17/03/2026,Tarifa ,Tarifa Bancária,"-4,66",Financeiro,Pagar,Realizado
17/03/2026,WeWork - Mensalidade,Aluguel,"-14.880,00",Administrativo,Pagar,Realizado
17/03/2026,Vonex - 101 Com,Licença de Software,"-3.190,78",Operações,Pagar,Realizado
17/03/2026,Café Cliente,Não Dedutível,"-33,60",Vendas,Pagar,Realizado
17/03/2026,D4sign,Licença de Software,"-49,90",Administrativo,Pagar,Realizado
18/03/2026,Datora,Telefonia,"-230,00",Operações,Pagar,Realizado
19/03/2026,Receita Consolidada,Receita,"5.837,07",Receita,Receber,Realizado
19/03/2026,Tarifa ,Tarifa Bancária,"-37,30",Financeiro,Pagar,Realizado
19/03/2026,ElevenLabs,Licença de Software,"-554,81",Tecnologia,Pagar,Realizado
20/03/2026,Receita Consolidada,Receita,"15.014,10",Receita,Receber,Realizado
20/03/2026,Tarifa ,Tarifa Bancária,"-70,79",Financeiro,Pagar,Realizado
20/03/2026,DARF CSRF 5952 - 1708,Impostos,"-399,52",Impostos,Pagar,Realizado
20/03/2026,INSS,INSS,"-15.293,49",Impostos,Pagar,Realizado
20/03/2026,FGTS,FGTS,"-2.727,33",Recursos Humanos,Pagar,Realizado
20/03/2026,TVN Nacional,Telefonia,"-490,90",Operações,Pagar,Realizado
20/03/2026,Beatriz Rodrigues,Consultores,"-2.500,00",Marketing,Pagar,Realizado
20/03/2026,ClickUP,Licença de Software,"-224,15",Tecnologia,Pagar,Realizado
20/03/2026,Almoço Cliente,Não Dedutível,"-804,10",Vendas,Pagar,Realizado
20/03/2026,Parcelamento ISS,Impostos,"-6.376,82",Impostos,Pagar,Realizado
23/03/2026,Receita Consolidada,Receita,"2.889,86",Receita,Receber,Realizado
23/03/2026,Tarifa ,Tarifa Bancária,"-7,41",Financeiro,Pagar,Realizado
23/03/2026,TD Synnex,Licença de Software,"-168,97",Tecnologia,Pagar,Pendente
23/03/2026,Directcall,Telefonia,"-36.205,00",Operações,Pagar,Realizado
23/03/2026,Instagram,Licença de Software,"-120,90",Marketing,Pagar,Realizado
23/03/2026,Aluguel de Carro (Ale),Não Dedutível,"-1.584,73",Administrativo,Pagar,Realizado
24/03/2026,Receita Consolidada,Receita,"4.050,43",Receita,Receber,Realizado
24/03/2026,Tarifa ,Tarifa Bancária,"-105,48",Financeiro,Pagar,Realizado
24/03/2026,Company Hero,Aluguel,"-1.063,23",Administrativo,Pagar,Realizado
24/03/2026,VR - PontoMais,Licença de Software,"-265,16",Administrativo,Pagar,Realizado
24/03/2026,Linkedin - Alexandre,Publicidade,"-139,99",Administrativo,Pagar,Realizado
25/03/2026,Receita Consolidada,Receita,"267.101,36",Receita,Receber,Realizado
25/03/2026,Tarifa ,Tarifa Bancária,"-14,82",Financeiro,Pagar,Realizado
25/03/2026,DARF COFINS 2172 - 5856 PIS 8109,Impostos,"-17.278,98",Impostos,Pagar,Pendente
25/03/2026,Payfy,Cartão Corporativo,"-100,00",Administrativo,Pagar,Realizado
25/03/2026,SulAmerica Saude - Mobcall,Saúde e Vida,"-16.926,22",Recursos Humanos,Pagar,Realizado
25/03/2026,SulAmerica Alexandre,Saúde e Vida,"-8.829,94",Recursos Humanos,Pagar,Realizado
25/03/2026,SulAmerica Rafael,Saúde e Vida,"-2.367,69",Recursos Humanos,Pagar,Realizado
26/03/2026,Receita Consolidada,Receita,"24.208,22",Receita,Receber,Realizado
26/03/2026,Tarifa ,Tarifa Bancária,"-9,88",Financeiro,Pagar,Realizado
26/03/2026,Ana Sabença,Ant. Dividendos,"-29.643,00",Operações,Pagar,Realizado
26/03/2026,Alexandre Kohatsu,Ant. Dividendos,"-35.000,00",Administrativo,Pagar,Realizado
26/03/2026,Daniel Sabença - Distrato,Acordo,"-45.000,00",Distrato,Pagar,Realizado
26/03/2026,Rafael Lohmann,Consultores,"-16.250,00",Tecnologia,Pagar,Realizado
26/03/2026,CloudSoft Phone,Telefonia,"-10.345,92",Operações,Pagar,Realizado
26/03/2026,Octadesk,Licença de Software,"-1.542,40",Operações,Pagar,Realizado
26/03/2026,Mention,Publicidade,"-2.500,00",Operações,Pagar,Realizado
27/03/2026,Receita Consolidada,Receita,"1.072,92",Receita,Receber,Realizado
27/03/2026,Tarifa ,Tarifa Bancária,"-25,69",Financeiro,Pagar,Realizado
27/03/2026,GuardeMais,Aluguel,"-161,90",Administrativo,Pagar,Realizado
27/03/2026,Flash,Refeição e Mobilidade,"-13.534,50",Recursos Humanos,Pagar,Realizado
27/03/2026,ClickUP,Licença de Software,"-44,75",Tecnologia,Pagar,Realizado
27/03/2026,Almoço Cliente,Não Dedutível,"-1.083,78",Vendas,Pagar,Realizado
28/03/2026,OpenAI,Licença de Software,"-55,98",Tecnologia,Pagar,Realizado
28/03/2026,Combustível (Ale),Não Dedutível,"-169,70",Administrativo,Pagar,Realizado
30/03/2026,Receita Consolidada,Receita,"2.177,48",Receita,Receber,Realizado
30/03/2026,Tarifa ,Tarifa Bancária,"-41,96",Financeiro,Pagar,Realizado
30/03/2026,Acordo Algar ,Telefonia,"-13.154,19",Operações,Pagar,Realizado
30/03/2026,SAMM,Telefonia,"-66.924,07",Operações,Pagar,Realizado
30/03/2026,Folha de Pagamento,Folha,"-18.678,80",Recursos Humanos,Pagar,Realizado
30/03/2026,Ovos de Páscoa,Confraternização,"-497,89",Recursos Humanos,Pagar,Realizado
31/03/2026,Receita Consolidada,Receita,"1.253,93",Receita,Receber,Realizado
31/03/2026,Tarifa ,Tarifa Bancária,"-4,94",Financeiro,Pagar,Realizado
31/03/2026,Parcelamento de Impostos Federais (8973147),Impostos,"-612,75",Impostos,Pagar,Realizado
31/03/2026,PARC DÉBITOS PREVIDENCIARIOS (10279027),Impostos,"-8.024,76",Impostos,Pagar,Realizado
31/03/2026,PARC DEMAIS DÉBITOS (10278970),Impostos,"-7.989,15",Impostos,Pagar,Realizado
31/03/2026,PARC DEMAIS DÉBITOS (12861922),Impostos,"-695,24",Impostos,Pagar,Realizado
31/03/2026,PARC PREVIDENCIARIO (12861928),Impostos,"-440,52",Impostos,Pagar,Realizado
31/03/2026,PARC DÉBITOS PREVIDENCIARIOS (15330945),Impostos,"-6.224,88",Impostos,Pagar,Realizado
31/03/2026,PARC DIV. ATIVA (15330946),Impostos,"-3.455,18",Impostos,Pagar,Realizado
31/03/2026,DARE - Alteração Contratual,Impostos,"-583,98",Impostos,Pagar,Realizado
31/03/2026,Coffee - Reunião Mensal,Confraternização,"-105,13",Administrativo,Pagar,Realizado
31/03/2026,OpenAI,Licença de Software,"-55,73",Tecnologia,Pagar,Realizado
31/03/2026,Deepgram,Licença de Software,"-111,19",Marketing,Pagar,Realizado
31/03/2026,Aluguel de Carro (Ale),Não Dedutível,"-160,29",Administrativo,Pagar,Realizado
31/03/2026,Aluguel de Carro (Ale),Não Dedutível,"-1.206,88",Administrativo,Pagar,Realizado
31/03/2026,Tarifa Pix - Payfy,Tarifa,"-58,80",Financeiro,Pagar,Realizado
01/04/2026,Receita Consolidada,Receita,"3.373,03",Receita,Receber,Realizado
01/04/2026,Tarifa,Tarifa Bancária,"-2,47",Financeiro,Pagar,Realizado
01/04/2026,Adobe MKT,Licença de Software,"-480,00",Marketing,Pagar,Realizado
01/04/2026,DigitalOcean,Licença de Software,"-6,10",Marketing,Pagar,Realizado
01/04/2026,Google LLC,Cloud,"-1.230,56",Operações,Pagar,Realizado
01/04/2026,DIDWW,Telefonia,"-166,73",Operações,Pagar,Realizado
01/04/2026,Ovos de Pascoa - Roger Flash,Confraternização,-50,Recursos Humanos,Pagar,Realizado
02/04/2026,Férias - Roger Vargas,Férias - Folha,"-4.823,37",Recursos Humanos,Pagar,Realizado
02/04/2026,Férias - Jonathan Ballielas,Férias - Folha,"-1.913,74",Recursos Humanos,Pagar,Realizado
02/04/2026,Marcela Barão,Consultores,"-3.000,00",Operações,Pagar,Realizado
02/04/2026,Marcela Barão - MRR,Consultores,"-456,89",Operações,Pagar,Realizado
02/04/2026,OpenAI,Licença de Software,"-55,08",Tecnologia,Pagar,Realizado
02/04/2026,Almoço Cliente,Não Dedutível,"-566,01",Vendas,Pagar,Realizado
02/04/2026,ChatGPT - Alexandre,Licença de Software,"-109,62",Administrativo,Pagar,Realizado
02/04/2026,Estacionamento Visita Cliente ,Não Dedutível,"-35,00",Vendas,Pagar,Realizado
04/04/2026,Chat GPT Business,Licença de Software,"-397,36",Tecnologia,Pagar,Realizado
